"date","sales"
1965-01-01,154
1965-02-01,96
1965-03-01,73
1965-04-01,49
1965-05-01,36
1965-06-01,59
1965-07-01,95
1965-08-01,169
1965-09-01,210
1965-10-01,278
1965-11-01,298
1965-12-01,245
1966-01-01,200
1966-02-01,118
1966-03-01,90
1966-04-01,79
1966-05-01,78
1966-06-01,91
1966-09-01,289
1966-10-01,347
1966-11-01,375
1966-12-01,203
1967-01-01,223
1967-03-01,107
1967-04-01,85
1967-05-01,75
1967-06-01,99
1967-07-01,135
1967-08-01,211
1967-09-01,335
1967-10-01,460
1967-11-01,488
1968-01-01,346
1968-02-01,261
1968-03-01,224
1968-04-01,141
1968-05-01,148
1968-06-01,145
1968-07-01,223
1968-08-01,272
1968-09-01,445
1968-10-01,560
1968-11-01,612
1968-12-01,467
1969-01-01,518
1969-02-01,404
1969-03-01,300
1969-04-01,210
1969-05-01,196
1969-06-01,186
1969-07-01,247
1969-08-01,343
1969-09-01,464
1969-10-01,680
1969-11-01,711
1969-12-01,610
1970-01-01,613
1970-02-01,392
1970-03-01,273
1970-04-01,322
1970-05-01,189
1970-06-01,257
1970-07-01,324
1970-08-01,404
1970-09-01,677
1970-10-01,858
1970-11-01,895
1970-12-01,664
1971-01-01,628
1971-02-01,308
1971-03-01,324
1971-04-01,248
1971-05-01,272
